"industry","investor","Unicorn_Count"
"Artificial intelligence","founders fund",1
"Consumer & retail","founders fund",1
"Cybersecurity","founders fund",1
"Hardware","founders fund",1
"Other","founders fund",1
"Fintech","founders fund. accel",1
"Data management & analytics","foundry group",1
"E-commerce & direct-to-consumer","foundry group",1
"Hardware","foundry group",1
"Artificial intelligence","foxconn technology company",1
"Cybersecurity","framework ventures",1
"Internet software & services","francisco partners",1
"Fintech","franklin templeton",2
"E-commerce & direct-to-consumer","franklin templeton",1
"Internet software & services","freesfund",1
"Fintech","frst",1
"Cybersecurity","ftv capital",1
"Fintech","ftv capital",1
"Internet software & services","ftv capital",1
"Internet software & services","ftx venture",1
"Auto & transportation","funa yuanchuang technology",1
"Mobile & telecommunications","fundersclub",1
"Fintech","future perfect ventures",1
"Fintech","future ventures",1
"Artificial intelligence","futurex capital",1
"Health","g squared",1
"Hardware","galaxy digital",1
"Fintech","galaxy interactive",1
"Internet software & services","galaxy interactive",1
"Data management & analytics","galeo ventures",1
"Artificial intelligence","gam holding",1
"Fintech","gaocheng capital",1
"Fintech","gaopeng capital",1
"Auto & transportation","gaorong capital",1
"Consumer & retail","gaorong capital",1
"Mobile & telecommunications","gaorong capital",1
"Fintech","gauss ventures",1
"Fintech","gcp capital partners",1
"Health","ge healthcare",1
"Health","ge ventures",1
"Fintech","geekdom fund",1
"Auto & transportation","geely",1
"Fintech","general atlantic",6
"Internet software & services","general atlantic",5
"E-commerce & direct-to-consumer","general atlantic",4
"Data management & analytics","general atlantic",3
"Other","general atlantic",3
"Artificial intelligence","general atlantic",2
"Auto & transportation","general atlantic",1
"Cybersecurity","general atlantic",1
"Edtech","general atlantic",1
"Travel","general atlantic",1
"Fintech","general catalyst",7
"Internet software & services","general catalyst",7
"Health","general catalyst",5
"Data management & analytics","general catalyst",3
"E-commerce & direct-to-consumer","general catalyst",3
"Cybersecurity","general catalyst",2
"Artificial intelligence","general catalyst",1
"Other","general catalyst",1
"Supply chain, logistics, & delivery","general catalyst",1
"Cybersecurity","general catalyst partners",1
"Fintech","general catalyst partners",1
"Internet software & services","genesis capital",1
"Data management & analytics","genesis partners",1
"Edtech","genesis partners",1
"Internet software & services","geodesic capital",1
"Hardware","georgian co-investment fund",1
"Artificial intelligence","georgian partners",2
"Internet software & services","georgian partners",2
"Fintech","georgian partners",1
"Cybersecurity","georgian partners",1
"Fintech","gf investments",1
"Hardware","gf xinde investment management co.",1
"Cybersecurity","ggv capital",3
"E-commerce & direct-to-consumer","ggv capital",3
"Internet software & services","ggv capital",3
"Artificial Intelligence","ggv capital",1
"Auto & transportation","ggv capital",1
"Edtech","ggv capital",1
"Fintech","ggv capital",1
"Mobile & telecommunications","ggv capital",1
"Travel","ggv capital",1
"E-commerce & direct-to-consumer","gic",1
"Travel","gic",1
"Mobile & telecommunications","ginko ventures",1
"Consumer & retail","global asset capital",1
"Artificial intelligence","global catalyst partnera",1
"Artificial intelligence","global founders capital",2
